ï»¿"","Conta Contábil","Data","Fornecedor","Valor","Histórico"
"","Banco Bradesco - Empréstimo Consignados (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$3.739,90","LIQUIDADO PARA PAGAMENTO AS DESPESAS NOS VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DESENVOLVIMENTO RURAL, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","Banco Bradesco - Empréstimo Consignados (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$1.809,14","LIQUIDAO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO  MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS, REFERENTE O MÊS FEVEREIRO DE 2020."
"","APLB - Contribuição Sindical (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$210,57","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO AO GABINETE DO PREFEITO DESTE MUNICIPIO, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","Caixa Econômica Federal - Empréstimos Consignados (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$278,07","LIQUIDADO PARA PAGAMENO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO  MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS, REFERENTE O MÊS FEVEREIRO DE 2020."
"","Caixa Econômica Federal - Empréstimos Consignados (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$2.168,08","LIQUIDADO PARA PAGAMENTO A DESPESAS COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS NA SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS PÚBLICOS DESTE MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","Caixa Econômica Federal - Empréstimos Consignados (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$1.722,03","LIQUIDADO PARA PAGAMENTO A DESPESAS NO VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS NA VIGILÂNCIA MUNICIPAL JUNTO A SECRETARIA MUNICIPAL DE SEGURANÇA E ORDEM PÚBLICA, REFERENTE MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$334,40","LIQUDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL CONTRATADOS LOTADOS JUNTO A SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$1.078,94","LIQUIDADO PARA PAGAMENO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO  MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS, REFERENTE O MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","091.337.205-68 - LUIZ SERGIO SOARES DE SOUZA SANTOS","R$671,11","LIQUIDADO PARA PAGAMENTO A DESPESA COM SUBSÍDIOS DO PREFEITO DESTE  MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","580.602.785-68 - CLERISTON SANTANA DE OLIVEIRA","R$550,00","LIQUIDADO PARA PAGAMENTO A DESPESA COM SUBSÍDIOS DO SECRETARIAO DE ADMINISTRAÇÃO DESTE  MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","145.958.185-72 - JOSÉ DEJANILSON DE SOUZA CALAZANS","R$550,00","LIQUIDADO PARA PAGAMENTO A DESPESA COM SUBSÍDIOS DO SECRETARIO DE OBRAS E SERVIÇOS PÚBLICOS DESTE  MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","012.975.005-04 - CARLOS ALBERTO DA SILVA","R$671,11","LIQUIDADO PARA PAGAMENTO A DESPESA COM SUBSÍDIOS DO VICE PREFEITO DESTE  MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$2.567,82","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO  MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS, REFERENTE O FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$2.378,54","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO DESTE MUNICIPIO, REFERENTE O FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$2.847,10","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO DESTE MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$3.842,77","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO AO GABINETE DO PREFEITO DESTE MUNICIPIO, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$511,50","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS NA CONTROLADORIA GERAL DO MUNICIPIO JUNTO AO GABINETE DO PREFEITO DESTE MUNICIPIO, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$1.203,84","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS NA PROCURADORIA JURÍDICA DO MUNICIPIO JUNTO AO GABINETE DO PREFEITO DESTE MUNICIPIO, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$712,49","LIQUIDADO PARA PAGAMENTO A DESPESAS COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL CONTRATADOS LOTADOS NA SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS PÚBLICOS, REFERENTE O MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$19.617,40","LIQUIDADO PARA PAGAMENTO A DESPESAS COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS NA SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS PÚBLICOS DESTE MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$83,60","LIQUIDADO PARA PAGAMENTO A DESPESAS NO VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL CONTRATADOS LOTADOS JUNTO A SECRETARIA MUNICIPAL DESENVOLVIMENTO RURAL, REFERENTE O MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$102,36","LIQUIDADO PARA PAGAMENTO A DESPESAS NO VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE SEGURANÇA E ORDEM PÚBLICA, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$11.455,42","LIQUIDADO PARA PAGAMENTO A DESPESAS NO VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS NA VIGILÂNCIA MUNICIPAL JUNTO A SECRETARIA MUNICIPAL DE SEGURANÇA E ORDEM PÚBLICA, REFERENTE MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$3.984,21","LIQUIDADO PARA PAGAMENTO AS DESPESAS NOS VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DESENVOLVIMENTO RURAL, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$2.475,50","LIQUIDAO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO  MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS, REFERENTE O MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$8,16","PARA FAZER FACE A DESPESA COM RESCISÃO DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS NA SECREATARIA MUNICIPAL DE OBRAS E SERVIÇOS PÚBLICO DESTE MUNICÍPIO, REF. MÊS FEVEREIRO DE 2020."
"","INSS - Retenções s/ Remuneração de Servidores","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$766,80","VENCIMENTO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO DESTE MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","Contribuição AGMT - (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$907,16","LIQUIDADO PARA PAGAMENTO A DESPESAS NO VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS NA VIGILÂNCIA MUNICIPAL JUNTO A SECRETARIA MUNICIPAL DE SEGURANÇA E ORDEM PÚBLICA, REFERENTE MÊS FEVEREIRO DE 2020."
"","IRRF s/ os Rendimentos do Trabalho","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$48,73","LIQUIDADO PARA PAGAMENO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO  MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS, REFERENTE O MÊS FEVEREIRO DE 2020."
"","IRRF s/ os Rendimentos do Trabalho","28/02/2020","091.337.205-68 - LUIZ SERGIO SOARES DE SOUZA SANTOS","R$3.621,08","LIQUIDADO PARA PAGAMENTO A DESPESA COM SUBSÍDIOS DO PREFEITO DESTE  MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","IRRF s/ os Rendimentos do Trabalho","28/02/2020","580.602.785-68 - CLERISTON SANTANA DE OLIVEIRA","R$279,80","LIQUIDADO PARA PAGAMENTO A DESPESA COM SUBSÍDIOS DO SECRETARIAO DE ADMINISTRAÇÃO DESTE  MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","IRRF s/ os Rendimentos do Trabalho","28/02/2020","145.958.185-72 - JOSÉ DEJANILSON DE SOUZA CALAZANS","R$365,12","LIQUIDADO PARA PAGAMENTO A DESPESA COM SUBSÍDIOS DO SECRETARIO DE OBRAS E SERVIÇOS PÚBLICOS DESTE  MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","IRRF s/ os Rendimentos do Trabalho","28/02/2020","012.975.005-04 - CARLOS ALBERTO DA SILVA","R$1.179,31","LIQUIDADO PARA PAGAMENTO A DESPESA COM SUBSÍDIOS DO VICE PREFEITO DESTE  MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","IRRF s/ os Rendimentos do Trabalho","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$276,55","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO  MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS, REFERENTE O FEVEREIRO DE 2020."
"","IRRF s/ os Rendimentos do Trabalho","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$818,14","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO DESTE MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","IRRF s/ os Rendimentos do Trabalho","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$1.314,80","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO AO GABINETE DO PREFEITO DESTE MUNICIPIO, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","IRRF s/ os Rendimentos do Trabalho","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$295,03","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS NA CONTROLADORIA GERAL DO MUNICIPIO JUNTO AO GABINETE DO PREFEITO DESTE MUNICIPIO, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","IRRF s/ os Rendimentos do Trabalho","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$838,98","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS NA PROCURADORIA JURÍDICA DO MUNICIPIO JUNTO AO GABINETE DO PREFEITO DESTE MUNICIPIO, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","IRRF s/ os Rendimentos do Trabalho","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$471,68","LIQUIDADO PARA PAGAMENTO A DESPESAS COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS NA SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS PÚBLICOS DESTE MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","IRRF s/ os Rendimentos do Trabalho","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$640,93","LIQUIDADO PARA PAGAMENTO A DESPESAS NO VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS NA VIGILÂNCIA MUNICIPAL JUNTO A SECRETARIA MUNICIPAL DE SEGURANÇA E ORDEM PÚBLICA, REFERENTE MÊS FEVEREIRO DE 2020."
"","IRRF s/ os Rendimentos do Trabalho","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$500,10","LIQUIDADO PARA PAGAMENTO AS DESPESAS NOS VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DESENVOLVIMENTO RURAL, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","IRRF s/ os Rendimentos do Trabalho","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$798,59","LIQUIDAO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO  MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS, REFERENTE O MÊS FEVEREIRO DE 2020."
"","IRRF s/ os Rendimentos do Trabalho","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$37,20","VENCIMENTO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO DESTE MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","ISS a Recolher","28/02/2020","08.833.656/0001-05 - NEOLUZ PROJETOS E ENGENHARIA LTDA - EPP","R$752,12","LIQUIDADO PARA PAGAMENTO A DESPESA NA PRESTAÇÃO DE SERVIÇOS NA EXECUSÃO. EFICIENTIZAÇÃO, FORNECIMENTO DE MATERIAIS, GESTÃO, MANUTENÇÃO DA ILUMINAÇÃO PÚBLICA E CADASTRAMENTO GEOREFERENCIADO DOS PONTOS  DE ILUMINAÇÃO PÚBLICA, CONFORME 1º ADITIVO DO PREGÃO Nº 001/2018 E CONTRATO Nº 027/2018 CONFORME PLANILHA DE MEDIÇÃO Nº 19 DO PERIODO DE 28/11 A 27/12/2019,"
"","Pensão Alimentícia Judicial (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$419,98","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO DESTE MUNICIPIO, REFERENTE O FEVEREIRO DE 2020."
"","Pensão Alimentícia Judicial (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$436,81","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO DESTE MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","Pensão Alimentícia Judicial (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$1.110,15","LIQUIDADO PARA PAGAMENTO A DESPESAS COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS NA SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS PÚBLICOS DESTE MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","Pensão Alimentícia Judicial (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$2.961,83","LIQUIDADO PARA PAGAMENTO A DESPESAS NO VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS NA VIGILÂNCIA MUNICIPAL JUNTO A SECRETARIA MUNICIPAL DE SEGURANÇA E ORDEM PÚBLICA, REFERENTE MÊS FEVEREIRO DE 2020."
"","Pensão Alimentícia Judicial (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$100,00","LIQUIDADO PARA PAGAMENTO AS DESPESAS NOS VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DESENVOLVIMENTO RURAL, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","Plano de Saúde União Médica (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$317,82","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO AO GABINETE DO PREFEITO DESTE MUNICIPIO, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","Plano de Saúde União Médica (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$526,08","LIQUIDADO PARA PAGAMENTO AS DESPESAS NOS VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DESENVOLVIMENTO RURAL, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","Sicoob - Empréstimos Consignados (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$119,70","LIQUIDADO PARA PAGAMENTO A DESPESAS NO VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS NA VIGILÂNCIA MUNICIPAL JUNTO A SECRETARIA MUNICIPAL DE SEGURANÇA E ORDEM PÚBLICA, REFERENTE MÊS FEVEREIRO DE 2020."
"","Sindicato Sindismut (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$73,25","LIQUIDADO PARA PAGAMENO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO  MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS, REFERENTE O MÊS FEVEREIRO DE 2020."
"","Sindicato Sindismut (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$242,68","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO  MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS, REFERENTE O FEVEREIRO DE 2020."
"","Sindicato Sindismut (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$357,85","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO DESTE MUNICIPIO, REFERENTE O FEVEREIRO DE 2020."
"","Sindicato Sindismut (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$62,64","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO DESTE MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","Sindicato Sindismut (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$151,17","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO AO GABINETE DO PREFEITO DESTE MUNICIPIO, REFERENTE AO MÊS FEVEREIRO DE 2020."
