ï»¿"","Receita","Descrição da Receita","Orçado","Real. Período","Real. Acum.","%"
"","1722995301","FCBA - Fundo de Cultura da Bahia","R$0,00","R$6.615,09","R$6.615,09","0.00"
"","1722990200","FEAS - PBV","R$0,00","R$40.936,00","R$40.936,00","0.00"
"","1722990300","FEAS - PFMC - PAEFI","R$0,00","R$69.120,00","R$69.120,00","0.00"
"","1721995100","Fex - Auxílio Financeiro Para Fomento Exportações","R$61.800,00","R$25.221,69","R$25.221,69","40.81"
"","2421015107","FNS Estruturação da Rede de Serv de Atenção Básica de Saúde","R$0,00","R$99.990,00","R$99.990,00","0.00"
"","1721335220","Fortalec. de Pol. Afetas à Atuação da Estratégia de ACS - 5%","R$76.000,00","R$82.134,00","R$82.134,00","108.07"
"","1721335533","Fortalec.de Pol. Afetas à Atuação da Estratégia de ACE - 5","R$6.100,00","R$8.517,60","R$8.517,60","139.63"
"","1724015200","FUNDEB 40% - Transferencias de Recursos do Fundo de Man","R$10.500.000,00","R$10.836.196,04","R$10.836.196,04","103.20"
"","1724025200","FUNDEB 40%- Transferencias da Complementação","R$4.800.000,00","R$3.753.168,99","R$3.753.168,99","78.19"
"","1724025100","FUNDEB 60%- Transferencias da Complementação","R$7.200.000,00","R$5.629.753,48","R$5.629.753,48","78.19"
"","1724015100","FUNDEB 60%- Transferencias de Recursos do Fundo de Man","R$16.000.000,00","R$16.254.293,86","R$16.254.293,86","101.58"
"","1721345201","IGDUAS - Índ. de Gestão Desc. do Sistema Único de Assitencia Social","R$86.968,52","R$116.439,90","R$116.439,90","133.88"
"","1113050102","Imposto Sobre Serviço de Qualquer Natureza Retido na Fonte","R$1.300.000,00","R$1.349.174,53","R$1.349.174,53","103.78"
"","1721335212","Incentivo de Implantação aos Nucleos de Apoio a Saúde da Família - NASF","R$0,00","R$20.000,00","R$20.000,00","0.00"
"","1721335526","Incentivos Pontuais para Ações e Serviços de Vigilância","R$46.000,00","R$44.764,46","R$44.764,46","97.31"
"","1721345101","Índice de Gestão Descentralizadas - ProGrama Bolsa Familia","R$454.041,60","R$381.004,88","R$381.004,88","83.91"
"","2421020500","Infraestrutura Escolar - Equipamento - PAR","R$0,00","R$89.764,02","R$89.764,02","0.00"
"","1112020000","IPTU","R$157.000,00","R$273.089,58","R$273.089,58","173.94"
"","1112043400","IRRF Sobre Outros Rendimentos","R$1.665.000,00","R$854.999,86","R$854.999,86","51.35"
"","1112080000","Itiv/itbi","R$210.000,00","R$183.998,05","R$183.998,05","87.61"
"","1919480000","Multas Aplicadas Pelos Tribunais de Contas","R$10.900,00","R$20.112,50","R$20.112,50","184.51"
"","1911990199","Multas e Juros de Mora de Outros Tributos","R$20.000,00","R$9.979,62","R$9.979,62","49.89"
"","1911380000","Multas e Juros de Mora Iptu","R$0,00","R$12.815,49","R$12.815,49","0.00"
"","1911990101","Multas e Juros Taxas de Fiscalização de Funcionamento","R$0,00","R$3.586,18","R$3.586,18","0.00"
"","1721335207","Núcleo de Apoio a Saúde da Família ao NASF","R$260.000,00","R$240.000,00","R$240.000,00","92.30"
"","1919995100","Outras Multas - Prefeitura/fundos","R$13.000,00","R$0,00","R$0,00","0.00"
"","1990995100","Outras Receita","R$110.000,00","R$10.752,49","R$10.752,49","9.77"
"","1325579900","Outras Rem Depósitos de Recursos não Vinculados","R$80.000,00","R$53.556,47","R$53.556,47","66.94"
"","1325569900","Outras Remunerações - RECURSOS VINCULADOS","R$3.000,00","R$28,81","R$28,81","0.96"
"","1122999900","Outras Taxas pela Prestação de Serviços","R$160.000,00","R$21.711,33","R$21.711,33","13.56"
"","2421025800","PAC II- Quadra - Programa de Construção de Quadras Poliesportivas","R$100.000,00","R$382.500,00","R$382.500,00","382.50"
"","1722995418","PBVA - SCFV - Serviço de Convivência e Fortalecimento da V","R$35.088,00","R$0,00","R$0,00","0.00"
"","1721345301","PBVA-SCFV - sServ de Conv. e Fortal. de Vinculos","R$408.000,00","R$238.000,00","R$238.000,00","58.33"
"","1762020100","PETE - Programa Estadual de Transporte Escolar","R$0,00","R$461.119,13","R$461.119,13","0.00"
"","1721345302","Piso Básico Fixo - PBF","R$432.000,00","R$360.000,00","R$360.000,00","83.33"
"","1722995417","Piso Básico Fixo - PBF","R$81.000,00","R$94.500,00","R$94.500,00","116.66"
"","1721345303","Piso Básico Variável - PBV III Equipe Volante","R$162.000,00","R$108.000,00","R$108.000,00","66.66"
"","1722995406","Piso de Alta Complexibilidade I","R$40.800,00","R$44.200,00","R$44.200,00","108.33"
"","1721345402","Piso de Alta Complexibilidade I - Criança e Adolescente","R$54.400,00","R$70.000,00","R$70.000,00","128.67"
"","1721345401","Piso de Alta Complexibilidade I - Outros Públicos","R$46.400,00","R$47.600,00","R$47.600,00","102.58"
"","1722995405","Piso de Média Complexibilidade","R$69.120,00","R$11.520,00","R$11.520,00","16.66"
"","1721345501","Piso de Média Complexibilidade - PAEFI/CREAS","R$96.000,00","R$96.000,00","R$96.000,00","100.00"
"","1721335501","Piso Fixo de Vigilância em Saúde - PFVS","R$300.000,00","R$154.360,20","R$154.360,20","51.45"
"","1721335523","Piso Fixo de Vigilância Sanitária - Parte Anvisa","R$3.500,00","R$4.232,10","R$4.232,10","120.91"
"","1721335524","Piso Fixo de Vigilância Santitária Parte - Fns","R$31.000,00","R$27.573,81","R$27.573,81","88.94"
"","1721350301","Pnae - Creche","R$142.000,00","R$257.656,00","R$257.656,00","181.44"
"","1721350305","Pnae - Eja","R$50.400,00","R$50.560,00","R$50.560,00","100.31"
"","1721350302","Pnae - Pré-escola","R$242.000,00","R$135.270,00","R$135.270,00","55.89"
"","1721350401","Pnate - Educação Infantil","R$40.000,00","R$74.080,00","R$74.080,00","185.20"
"","1721350402","Pnate - Ensino Fundamental","R$550.000,00","R$507.003,52","R$507.003,52","92.18"
"","1721350403","Pnate - Ensino Médio","R$150.000,00","R$156.901,44","R$156.901,44","104.60"
"","1721359901","Programa Brasil Alfabetizado","R$10.000,00","R$0,00","R$0,00","0.00"
"","1721359909","Programa Brasil Carinhoso - Apoio a Creches","R$110.000,00","R$79.205,02","R$79.205,02","72.00"
"","1721335101","Programa de Assistência Farmacéutica Básica","R$245.000,00","R$276.197,32","R$276.197,32","112.73"
"","2421015110","Programa de Financiamento das Ações de Alimentação e Nutrição","R$25.000,00","R$0,00","R$0,00","0.00"
"","1721335301","Programa de Financiamento das Ações de Alimentação e Nutrição (FAN)","R$0,00","R$13.000,00","R$13.000,00","0.00"
"","1721335527","Programa de Qualificação das  Ações de Vigilância em Saúde - PVVS","R$0,00","R$24.697,64","R$24.697,64","0.00"
"","1721335213","Programa de Requalificação das Unidades Básicas Saúde UBS","R$300.000,00","R$0,00","R$0,00","0.00"
"","2421015106","Programa de Requalificação de Unidades Básicas de Saúde","R$356.181,88","R$489.600,00","R$489.600,00","137.45"
"","1721335210","Programa Melhoria do Acesso e da Qualidade-pmaq (rab-pmq-sm)","R$427.000,00","R$395.300,00","R$395.300,00","92.57"
"","1721345602","PROGRAMA PRIMEIRA INFANCIA NO SUAS","R$0,00","R$82.933,34","R$82.933,34","0.00"
"","1721335204","Programa Saúde Bucal","R$100.000,00","R$44.600,00","R$44.600,00","44.60"
"","1722335101","Programa Saúde da Família - PSF","R$296.000,00","R$198.000,00","R$198.000,00","66.89"
"","1721335202","Programa Saúde Família","R$918.000,00","R$775.980,00","R$775.980,00","84.52"
"","1721335211","Programa Saúde na Escola","R$0,00","R$78.676,00","R$78.676,00","0.00"
"","1721335203","Programas de Agentes Comunitários da Saúde - PACS","R$25.000,00","R$5.070,00","R$5.070,00","20.28"
"","1931990101","Receita da Dívida Ativa da Taxa de Fiscalização e Funcionamento","R$55.000,00","R$34.749,64","R$34.749,64","63.18"
"","1931990103","Receita da Dívida Ativa da Taxa de Localização e Funcionamento","R$2.800,00","R$0,00","R$0,00","0.00"
"","1931990199","Receita da Dívida Ativa de Outros Tributos – Principal","R$6.000,00","R$15.252,07","R$15.252,07","254.20"
"","1931110000","Receita da Dívida Ativa do Iptu","R$280.000,00","R$132.497,11","R$132.497,11","47.32"
"","1931130000","Receita da Dívida Ativa do Iss","R$13.000,00","R$13.514,78","R$13.514,78","103.95"
"","1361010000","Receita de Cessão do Direito de Operacionalização da Folha de Pagamento de Pessoal","R$0,00","R$1.200.005,00","R$1.200.005,00","0.00"
"","1325570300","Receita de Remuner Fundos de Investimento REN","R$10.000,00","R$0,00","R$0,00","0.00"
"","1922075100","Recuperação de Despesas de Exercícios Anteriores - Convênios","R$0,00","R$29,50","R$29,50","0.00"
"","1922075200","Recuperação de Despesas de Exercícios Anteriores - Recursos Ordinários","R$0,00","R$50.285,67","R$50.285,67","0.00"
"","2421011100","Reforma de Unidade de Atenção Especializada em Saúde","R$0,00","R$199.998,33","R$199.998,33","0.00"
"","1325539914","Rem de Dep. Bancários - Outros Rec. Vinc. a Saúde - Ações","R$28.000,00","R$75.201,14","R$75.201,14","268.57"
"","1325539903","Rem Dep Banc-Recursos Vinc Saúde- Vig Sanitaria e Saúde","R$24.000,00","R$3.342,05","R$3.342,05","13.92"
"","1325539904","Rem Dep Banc-Recursos Vinc Saúde-Assist Farmacêutica","R$8.500,00","R$1.166,39","R$1.166,39","13.72"
"","1325539902","Rem Dep Banc-Recursos Vinc Saúde-MAC Saúde","R$12.300,00","R$7.579,82","R$7.579,82","61.62"
"","1325539912","Rem Depó Banc-Recursos Vinc Saúde-Ações e Serviços","R$34.000,00","R$789,41","R$789,41","2.32"
"","1325539901","Rem Depósit Bancários-Recursos Vinc Saúde-PAB","R$19.000,00","R$21.054,32","R$21.054,32","110.81"
"","1325529903","Rem Depósito Banc-Rec Outros Vinc à Educação","R$130.000,00","R$1.296,78","R$1.296,78","0.99"
"","1325520102","Rem Depósito Banc-Rec Vinc Educ FUNDEB 40%","R$9.000,00","R$52.318,85","R$52.318,85","581.32"
"","1325520101","Rem Depósito Banc-Rec Vinc Educ FUNDEB 60%","R$40.000,00","R$78.478,23","R$78.478,23","196.19"
"","1325529902","Rem Depósito Banc-Rec Vinc Educação- PNAE","R$16.000,00","R$0,00","R$0,00","0.00"
"","1325560100","Rem Depósito Banc-Rec Vinculados Royalties","R$3.300,00","R$3.194,82","R$3.194,82","96.81"
"","1325539907","Rem Deposito Bancários-Recursos Vinc Saúde- PSF","R$3.400,00","R$907,66","R$907,66","26.69"
"","1325540300","Remuneração de Depósitos Bancários - Assistência Social - Convênios","R$0,00","R$297,20","R$297,20","0.00"
"","1325540200","Remuneração de Depósitos Bancários - Fonte 00 FMAS","R$0,00","R$132,24","R$132,24","0.00"
"","1722995200","Ren - Fundo de Rendimentos Icms","R$22.900,00","R$6.559,17","R$6.559,17","28.64"
"","1325560200","Rendimentos - Cide","R$1.000,00","R$1.612,83","R$1.612,83","161.28"
"","1325550000","Rendimentos - Convênios Diversos","R$0,00","R$24.254,76","R$24.254,76","0.00"
"","1325520200","Rendimentos - Educação (25%) - Mde","R$3.400,00","R$571,81","R$571,81","16.81"
"","1325520300","Rendimentos - Educação - Qse","R$6.000,00","R$8.912,52","R$8.912,52","148.54"
"","1325560500","Rendimentos - FCBA","R$0,00","R$53,05","R$53,05","0.00"
"","1325549901","Rendimentos - Feas","R$133.900,00","R$25.489,23","R$25.489,23","19.03"
"","1325560300","Rendimentos - Fies","R$0,00","R$287,68","R$287,68","0.00"
"","1325529901","Rendimentos - FNDE","R$2.500,00","R$28.107,07","R$28.107,07","1124.28"
"","1325520400","Rendimentos - Rec.vinculados à Educação - Convênios","R$30.000,00","R$681,20","R$681,20","2.27"
"","1325530300","Rendimentos - Rec.vinculados a Saúde - Convênios","R$0,00","R$2.549,29","R$2.549,29","0.00"
"","1325530100","Rendimentos - Saúde- Fms - Aplicação 15%","R$3.200,00","R$3.853,35","R$3.853,35","120.41"
"","1325540100","Rendimentos - Transferências Fnas","R$0,00","R$66.811,30","R$66.811,30","0.00"
"","1922999999","Restituições- Outras","R$15.000,00","R$64.697,81","R$64.697,81","431.31"
"","1113050101","Simples Nacional","R$152.200,00","R$208.713,69","R$208.713,69","137.13"
"","1121300000","Taxa de Autorização de Funcionamento de Transporte","R$0,00","R$1.812,36","R$1.812,36","0.00"
"","1122280000","Taxa de Cemitérios","R$0,00","R$7.300,00","R$7.300,00","0.00"
"","11212100","TAXA DE CONTROLE E FISCALIZAÇÃO AMBIENTAL","R$0,00","R$5.640,00","R$5.640,00","0.00"
"","1121170000","Taxa de Fiscalização de Vigilância Sanitária","R$11.200,00","R$9.548,88","R$9.548,88","85.25"
"","1121290000","Taxa de Licença Para Execução de Obras","R$50.000,00","R$58.629,31","R$58.629,31","117.25"
"","1121310000","Taxa de Utilização de Área de Domínio Público","R$70.000,00","R$42.693,03","R$42.693,03","60.99"
"","1122210000","Taxas de Serviços Cadastrais","R$0,00","R$12.157,91","R$12.157,91","0.00"
"","1721335209","Teste Rápido de Gravidez","R$0,00","R$1.013,04","R$1.013,04","0.00"
"","1721335404","Teto Municipal da Média e Alta Comp. Ambulatorial e Hospitalar","R$2.100.000,00","R$1.994.463,30","R$1.994.463,30","94.97"
"","1721335418","Teto Municipal Rede Saúde Mental (RSME)","R$350.000,00","R$339.660,00","R$339.660,00","97.04"
"","1121250000","Tlf de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços","R$400.000,00","R$201.992,92","R$201.992,92","50.49"
"","1721350307","Transf Progr Nacional Alime Escolar-Mais Educação","R$260.000,00","R$282.409,60","R$282.409,60","108.61"
"","1721350304","Transf Progr Nacional de Alime Escolar- Ensino Fundamental","R$500.000,00","R$563.890,00","R$563.890,00","112.77"
"","1721360000","Transferência Financeira do Icms – Desoneração – L.c. Nº 87/96","R$27.000,00","R$23.878,80","R$23.878,80","88.44"
"","1721350308","Transferência Programa Nacional de Alimentação Escolar - A","R$24.000,00","R$23.532,00","R$23.532,00","98.05"
"","1721350200","Transferências Diretas do Fnde Referentes ao Pdde","R$27.000,00","R$16.200,00","R$16.200,00","60.00"
"","1721350100","Transferências do Salário-educação","R$1.500.000,00","R$1.420.131,92","R$1.420.131,92","94.67"
"","2421015112","Unidade de Pronto Atendimento - UPA","R$200.000,00","R$0,00","R$0,00","0.00"
"","1722335108","Vigilância Epidemiológica e Ambiental em Saúde","R$22.000,00","R$0,00","R$0,00","0.00"
