ï»¿"","Receita","Descrição da Receita","Orçado","Real. Período","Real. Acum.","%"
"","163801110100","Serviços de Urgência e Emergência em Decorrência do Covid (Contrato SESAB n° 106/2020)","R$0,00","R$1.019.333,00","R$1.019.333,00","0.00"
"","112801910400","Taxa de autorização para Funcionamento de Transporte","R$1.054,00","R$30,83","R$30,83","2.92"
"","112802910100","Taxa de Cemitério","R$13.856,00","R$15.616,94","R$15.616,94","112.70"
"","112801110000","Taxa de Fiscalização de Vigilância Sanitária - Principal","R$21.590,00","R$10.757,30","R$10.757,30","49.82"
"","112801910300","Taxa de Licença p/ Execução de Obras","R$95.157,00","R$138.600,20","R$138.600,20","145.65"
"","112801910500","Taxa Utilização de Área de Dominio Publico","R$73.150,00","R$40.381,55","R$40.381,55","55.20"
"","112801930000","Taxas de Inspeção, Controle e Fiscalização - Outras - Dívida Ativa","R$20.639,00","R$51.860,83","R$51.860,83","251.27"
"","112801910200","Taxas de Licença e Funcionamento","R$237.332,00","R$199.576,90","R$199.576,90","84.09"
"","171803410000","Transferência de Recursos do SUS – Assistência Farmacêutica - Principal","R$411.537,00","R$304.122,00","R$304.122,00","73.89"
"","171803110000","Transferência de Recursos do SUS – Atenção Básica - Principal","R$6.585.747,00","R$7.773.201,86","R$7.773.201,86","118.03"
"","171803210000","Transferência de Recursos do SUS – Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar - Principal","R$2.594.621,00","R$2.852.027,68","R$2.852.027,68","109.92"
"","171803510000","Transferência de Recursos do SUS – Gestão do SUS - Principal","R$28.080,00","R$13.000,00","R$13.000,00","46.29"
"","171803310000","Transferência de Recursos do SUS – Vigilância em Saúde - Principal","R$429.022,00","R$482.420,43","R$482.420,43","112.44"
"","171806110000","Transferência Financeira do ICMS – Desoneração – L.C. Nº 87/96 - Principal","R$22.880,00","R$54.403,66","R$54.403,66","237.77"
"","171809110000","Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal","R$10.664.889,00","R$10.253.444,38","R$10.253.444,38","96.14"
"","175801110000","Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal","R$32.408.184,00","R$30.871.877,14","R$30.871.877,14","95.25"
"","171805210000","Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola – PDDE - Principal","R$3.120,00","R$0,00","R$0,00","0.00"
"","171805310000","Transferências Diretas do FNDE referentes ao Programa Nacional de Alimentação Escolar – PNAE - Principal","R$748.027,00","R$1.053.571,20","R$1.053.571,20","140.84"
"","171805410000","Transferências Diretas do FNDE referentes ao Programa Nacional de Apoio ao Transporte do Escolar – PNATE - Principal","R$1.020.966,00","R$951.348,79","R$951.348,79","93.18"
"","171805110000","Transferências do Salário-Educação - Principal","R$1.582.028,00","R$1.151.480,33","R$1.151.480,33","72.78"
