ï»¿"","Receita","Descrição da Receita","Orçado","Real. Período","Real. Acum.","%"
"","971801210000","Dedução Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal","-R$6.482.165,00","-R$6.163.582,55","-R$6.163.582,55","95.08"
"","972801110000","Dedução Cota-Parte do ICMS - Principal","-R$1.385.467,00","-R$1.434.054,33","-R$1.434.054,33","103.50"
"","971801510000","Dedução Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal","-R$3.254,00","-R$2.627,87","-R$2.627,87","80.75"
"","972801310000","Dedução Cota-Parte do IPI - Municípios - Principal","-R$14.323,00","-R$14.869,35","-R$14.869,35","103.81"
"","972801210000","Dedução Cota-Parte do IPVA - Principal","-R$222.379,00","-R$217.205,45","-R$217.205,45","97.67"
"","971806110000","Dedução Transferência Financeira do ICMS – Desoneração – L.C. Nº 87/96 - Principal","-R$4.859,00","-R$4.456,32","-R$4.456,32","91.71"
"","241803115100","Estruturação da Rede de Serviços de Atenção Básica de Saúde","R$0,00","R$1.060.895,00","R$1.060.895,00","0.00"
"","241803115200","Estruturação da Rede de Serviços de Atenção Especializada em Saúde","R$0,00","R$80.000,00","R$80.000,00","0.00"
"","172899110300","FCBA - Fundo de Cultura da Bahia","R$5.025,00","R$22.202,86","R$22.202,86","441.84"
"","111801130000","Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa","R$80.973,00","R$120.535,69","R$120.535,69","148.85"
"","111801120000","Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros","R$0,00","R$24.663,19","R$24.663,19","0.00"
"","111801110000","Imposto sobre a Propriedade Predial e Territorial Urbana - Principal","R$127.007,00","R$253.534,50","R$253.534,50","199.62"
"","111303410000","Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal","R$1.292.900,00","R$979.501,97","R$979.501,97","75.76"
"","111802330000","Imposto sobre Serviços de Qualquer Natureza - Dívida Ativa","R$8.701,00","R$270,27","R$270,27","3.10"
"","111802320000","Imposto sobre Serviços de Qualquer Natureza - Multas e Juros","R$0,00","R$208,03","R$208,03","0.00"
"","111802310000","Imposto sobre Serviços de Qualquer Natureza - Principal","R$1.263.505,00","R$1.794.789,79","R$1.794.789,79","142.04"
"","111801410000","Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal","R$176.886,00","R$189.754,78","R$189.754,78","107.27"
"","171803111000","Incremento do Piso da Atenção Básica - PAB","R$0,00","R$800.000,00","R$800.000,00","0.00"
"","191007110000","Multas Aplicadas pelos Tribunais de Contas - Principal","R$24.475,00","R$20.821,80","R$20.821,80","85.07"
"","241803115300","Organização dos Serviços de Assistência Farmacêutica","R$0,00","R$60.816,00","R$60.816,00","0.00"
"","199099110100","Outras Receitas - Primárias -Principal - Prefeitura","R$49.484,00","R$0,00","R$0,00","0.00"
"","192299110100","Outras Restituições Prefeitura","R$12.410,00","R$0,00","R$0,00","0.00"
"","112201119900","Outras Taxas pela Prestação de Serviços","R$34.025,00","R$17.451,15","R$17.451,15","51.28"
"","171899110000","Outras Transferências da União - Principal","R$20.000,00","R$0,00","R$0,00","0.00"
"","171804119900","Outras Transferências de Recursos da Assistência Social","R$92.939,00","R$0,00","R$0,00","0.00"
"","171805910000","Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação – FNDE - Principal","R$10.000,00","R$197.823,34","R$197.823,34","1978.23"
"","241805110300","PAC I - Quadras Programa de Construção de Quadras","R$0,00","R$178.500,00","R$178.500,00","0.00"
"","241805110200","PAC II - Quadras Programa de Construção de Quadras Poliesportiva Escolares","R$0,00","R$188.700,00","R$188.700,00","0.00"
"","241805110100","PAR TD - Infraestrutura Escolar - Brinquedo Proinfância","R$0,00","R$20.255,91","R$20.255,91","0.00"
"","241810910100","PAVIMENTAÇÃO E DRENAGEM DE VIAS - 021148/2017","R$200.000,00","R$0,00","R$0,00","0.00"
"","241810910200","PAVIMENTAÇÃO E DRENAGEM DE VIAS - 030151/2017","R$300.000,00","R$208.877,65","R$208.877,65","69.62"
"","241810910300","Pavimentação em Paralelepipedos em Ruas na Sede do Município 13567/2016","R$0,00","R$215.762,16","R$215.762,16","0.00"
"","172810215100","PETE - Programa Estadual de Transporte Escolar","R$0,00","R$1.016.400,00","R$1.016.400,00","0.00"
"","171804110700","Programa Nacional de Promoção do Acesso ao Mundo Trabalho - ACESSUAS TRABALHO","R$0,00","R$100.000,00","R$100.000,00","0.00"
"","171804110600","Programa Primeira Infância no SUAS","R$0,00","R$68.014,66","R$68.014,66","0.00"
"","172803110100","PSF - ESTADO","R$138.173,00","R$243.000,00","R$243.000,00","175.86"
"","241810110100","Reforma de Unidade de Atenção Especializada em Saúde","R$0,00","R$119.999,00","R$119.999,00","0.00"
"","132100110304","Remuneração de Depósitos Bancários - Convênios Assistência Social","R$0,00","R$84,52","R$84,52","0.00"
"","132100110401","Remuneração de Depósitos Bancários - Outros Convênios União","R$26.170,00","R$26.393,28","R$26.393,28","100.85"
"","132100110105","Remuneração de Depósitos Bancários - OUTROS Vinculados a Educação","R$39.349,00","R$12.486,11","R$12.486,11","31.73"
"","132100110500","Remuneração de Depósitos Bancários - RECURSOS NÃO VINCULADOS","R$88.499,00","R$7.474,51","R$7.474,51","8.44"
"","132100110302","Remuneração de Depósitos Bancários - Recursos Tesouro - Assistência","R$179,00","R$18,69","R$18,69","10.44"
"","132100110102","Remuneração de Depósitos Bancários - Recursos Vinculados a Educação (25) - MDE","R$844,00","R$52,36","R$52,36","6.20"
"","132100110104","Remuneração de Depósitos Bancários - Recursos Vinculados a Educação - CONVÊNIOS","R$0,00","R$961,68","R$961,68","0.00"
"","132100110103","Remuneração de Depósitos Bancários - Recursos Vinculados a Educação - QSE","R$17.719,00","R$2.258,31","R$2.258,31","12.74"
"","132100110101","Remuneração de Depósitos Bancários - Recursos Vinculados a Educação FUNDEB","R$167.869,00","R$12.379,32","R$12.379,32","7.37"
"","132100110201","Remuneração de Depósitos Bancários - Recursos Vinculados a Saúde","R$62.104,00","R$29.549,09","R$29.549,09","47.58"
"","132100110203","Remuneração de Depósitos Bancários - Recursos Vinculados a Saúde - CONVÊNIOS","R$0,00","R$3.474,68","R$3.474,68","0.00"
"","132100110700","Remuneração de Depósitos Bancários - Recursos Vinculados CIDE","R$2.224,00","R$247,18","R$247,18","11.11"
"","132100110800","Remuneração de Depósitos Bancários - Recursos Vinculados FCBA","R$50,00","R$337,93","R$337,93","675.86"
"","132100110900","Remuneração de Depósitos Bancários - Recursos Vinculados FIES","R$402,00","R$121,68","R$121,68","30.26"
"","132100110600","Remuneração de Depósitos Bancários - Recursos Vinculados Royalties","R$4.354,00","R$357,29","R$357,29","8.20"
"","132100110202","Remuneração de Depósitos Bancários - Saúde - FMS - Aplicação 15","R$7.946,00","R$559,29","R$559,29","7.03"
"","132100110303","Remuneração de Depósitos Bancários - Transferências do FEAS","R$30.013,00","R$14.991,85","R$14.991,85","49.95"
"","132100110301","Remuneração de Depósitos Bancários - Transferências do FNAS","R$90.595,00","R$31.571,38","R$31.571,38","34.84"
"","172801510100","REN - Fundo de Rendimentos ICMS","R$12.182,00","R$3.032,44","R$3.032,44","24.89"
"","112101110700","Taxa de Aprovação do Projeto de Construção Civil","R$0,00","R$16.479,76","R$16.479,76","0.00"
"","112101110500","Taxa de autorização para Funcionamento de Transporte","R$3.015,00","R$3.730,56","R$3.730,56","123.73"
"","112101110400","Taxa de Licença para Execução de Obras","R$61.025,00","R$61.936,55","R$61.936,55","101.49"
"","112101110600","Taxa Utilização de Área de Dominio Publico","R$26.898,00","R$95.758,96","R$95.758,96","356.00"
"","112201110100","Taxas de Cemitério","R$4.221,00","R$6.720,00","R$6.720,00","159.20"
"","112101110100","Taxas de Fiscalização Sanitária","R$11.982,00","R$18.579,39","R$18.579,39","155.06"
"","112101130000","Taxas de Inspeção, Controle e Fiscalização - Dívida Ativa","R$5.025,00","R$80.711,91","R$80.711,91","1606.20"
"","112101120000","Taxas de Inspeção, Controle e Fiscalização - Multas e Juros","R$76.072,00","R$3.630,94","R$3.630,94","4.77"
"","112101110300","Taxas de Licença e Funcionamento","R$202.393,00","R$209.268,19","R$209.268,19","103.39"
"","171806110000","Transferência Financeira do ICMS – Desoneração – L.C. Nº 87/96 - Principal","R$24.297,00","R$22.281,72","R$22.281,72","91.70"
"","175801210000","Transferências de Recursos da Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principa","R$10.452.043,00","R$9.542.710,64","R$9.542.710,64","91.29"
"","175801110000","Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação – FUNDEB - Principal","R$30.148.249,00","R$29.606.947,97","R$29.606.947,97","98.20"
"","171805210000","Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola – PDDE - Principal","R$10.000,00","R$17.040,00","R$17.040,00","170.40"
"","171805310000","Transferências Diretas do FNDE referentes ao Programa Nacional de Alimentação Escolar – PNAE - Principal","R$1.079.435,00","R$1.106.406,80","R$1.106.406,80","102.49"
"","171805410000","Transferências Diretas do FNDE referentes ao Programa Nacional de Apoio ao Transporte do Escolar – PNATE - Principal","R$627.600,00","R$738.829,43","R$738.829,43","117.72"
"","171805110000","Transferências do Salário-Educação - Principal","R$1.415.624,00","R$1.494.852,27","R$1.494.852,27","105.59"
"","178000110000","Transferências Provenientes de Depósitos Não Identificados - Principal","R$0,00","R$5.513,73","R$5.513,73","0.00"
