ï»¿"","Órgão","Cargo","Favorecido","Saída","Chegada","Destino","Qtd.","Diária","Total","Pgto.","Históricos","CNPJ","Ano","SqLiquidacao","ParentForm","SqDiaria","TpOrigem"
"","GABINETE DO PREFEITO","CONTROLADOR GERAL DO MUNICIPIO","ADRIANO MACEDO DE JESUS","01/04/2017","02/04/2017","SALVADOR/BA","2","240,00","480,00","07/04/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRº ADRIANAO MACEDO DE JESUS CONTROLADOR GERAL DO MUNICIPIO PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 01 E 02 DE ABRIL DE 2017, PARA PARTICIPAR DAS AULAS DO MÓDULO DO CURSO FORMAÇÃO E APERFEIÇOAMENTO EM CONTROLADORIA INTERNA, CONFORME SOLICITAÇÃO EM ANEXO.","13810312000102","2017","350","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS","ISABELLA MACÊDO DE OLIVEIRA","27/03/2017","27/03/2017","FEIRA DE SANTANA/BA","1","90,00","90,00","07/04/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª ISABELLA MACEDO DE OLIVEIRA DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS PARA CUSTEAR VIAGEM A CIDADE DE FEIRA DE SANTANA E SALVADOR/BA NOS DIAS 27 DE MARÇO E 01, 02 E 03 DE ABRIL DE 2017, PARA PARTICIPAR DE REUNIÃO NA GIGOV E DO CURSO DE GESTÃO DE CONTRATOS, CONVÊNIOS E PRESTAÇÃO DE CONTAS E REUNIÃO NA CIB/SESAB PARA TRATAR DEASUNTOS RELACIONADOS AOS CONVÊNIOS, CONFORME SOLICITAÇÃO EM ANEXO.","13810312000102","2017","353","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS","ISABELLA MACÊDO DE OLIVEIRA","01/04/2017","03/04/2017","SALVADOR/BA","3","140,00","420,00","07/04/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª ISABELLA MACEDO DE OLIVEIRA DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS PARA CUSTEAR VIAGEM A CIDADE DE FEIRA DE SANTANA E SALVADOR/BA NOS DIAS 27 DE MARÇO E 01, 02 E 03 DE ABRIL DE 2017, PARA PARTICIPAR DE REUNIÃO NA GIGOV E DO CURSO DE GESTÃO DE CONTRATOS, CONVÊNIOS E PRESTAÇÃO DE CONTAS E REUNIÃO NA CIB/SESAB PARA TRATAR DEASUNTOS RELACIONADOS AOS CONVÊNIOS, CONFORME SOLICITAÇÃO EM ANEXO.","13810312000102","2017","353","frmCadLiqEmpenho","2","E"
"","GABINETE DO PREFEITO","CONTROLADOR GERAL DO MUNICIPIO","ADRIANO MACEDO DE JESUS","10/04/2017","11/04/2017","SALVADOR/BA","2","240,00","480,00","07/04/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRº ADRIANAO MACEDO DE JESUS CONTROLADOR GERAL DO MUNICIPIO PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 10 E 11 DE ABRIL DE 2017, PARA PARTICIPAR DO CURSO DE CONTROLE INTERNO NAS ÁREAS DE PROCEDIMENTOS E TÉCNICAS DE AVALIAÇÃO NAS ÁREAS DE COMPRAS, ALMOXARIFADO, PATRIMÔNIO, VEICULOS E COMBUSTÍVEIS, CONFORME SOLICITAÇÃO EM ANEXO.","13810312000102","2017","356","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","PROCURADORA ADJUNTA","ISLA SANTOS DE JESUS","28/03/2017","28/03/2017","SALVADOR/BA","1","240,00","240,00","07/04/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª ISLA SANTOS DE JESUS PROCURADORA ADJUNTA DO MUNICIPIO PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR PARA REPRESENTAR O PREFEITO NA UPB DEBATE (A BOMBA RELÓGIO DO PLANO DE CARREIRA DA EDUCAÇÃO NOS MUNICPIOS DA BAHIA), NO DIA 28 DE MARÇO DE 2017, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","369","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS","DIRETOR DE ADMINISTRAÇÃO CONTABIL","GEORGE SANTOS DE JESUS","08/04/2017","09/04/2017","SALVADOR/BA","2","120,00","240,00","11/04/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRº GEORGE SANTOS DE JESUS DIRETOR DE ADMINISTRAÇÃO CONTÁBIL DO MUNICIPIO PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 08 E 09 DE ABRIL DE 2017, PARA PARTICIPAR DAS AULAS DO CURSO DE PLANEJAMENTO E EXERCUÇÃO ORÇAMENTÁRIA, CONFORME SOLICITAÇÃO EM ANEXO.","13810312000102","2017","393","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","SECRETARIO (A) DE EDUCAÇÃO","VANUSA SANTOS DE JESUS","24/03/2017","24/03/2017","SALVADOR/BA","1","240,00","240,00","25/04/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª VANUSA SANTOS DE JESUS SOUSA SECRETARIA MUNICIPAL DE EDUCAÇÃO PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA  NOS DIAS 24 E 28 DE MARÇO E 10 DE ABRIL DE 2017, PARA PARTICIPAR DO SEMINÁRIO ACOLHIDA AOS NO0VOS DIRIGENTES MUNICIPAIS DE EDUCAÇÃO, DEBATE SOBRE O TEMA (A BOMBA RELÓGIO DO PLANO DE CARREIA DA EDUCAÇÃO NOS MUNICIPIOS DA BAHIA) E XXII ENCONTRO DO COMITÊ TERRITORIAL BAIANO DE DUCAÇÃO INTREGAL/INTREGADA, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","419","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","SECRETARIO (A) DE EDUCAÇÃO","VANUSA SANTOS DE JESUS","28/03/2017","28/03/2017","SALVADOR/BA","1","240,00","240,00","25/04/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª VANUSA SANTOS DE JESUS SOUSA SECRETARIA MUNICIPAL DE EDUCAÇÃO PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA  NOS DIAS 24 E 28 DE MARÇO E 10 DE ABRIL DE 2017, PARA PARTICIPAR DO SEMINÁRIO ACOLHIDA AOS NO0VOS DIRIGENTES MUNICIPAIS DE EDUCAÇÃO, DEBATE SOBRE O TEMA (A BOMBA RELÓGIO DO PLANO DE CARREIA DA EDUCAÇÃO NOS MUNICIPIOS DA BAHIA) E XXII ENCONTRO DO COMITÊ TERRITORIAL BAIANO DE DUCAÇÃO INTREGAL/INTREGADA, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","419","frmCadLiqEmpenho","2","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","SECRETARIO (A) DE EDUCAÇÃO","VANUSA SANTOS DE JESUS","10/04/2017","10/04/2017","SALVADOR/BA","1","240,00","240,00","25/04/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª VANUSA SANTOS DE JESUS SOUSA SECRETARIA MUNICIPAL DE EDUCAÇÃO PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA  NOS DIAS 24 E 28 DE MARÇO E 10 DE ABRIL DE 2017, PARA PARTICIPAR DO SEMINÁRIO ACOLHIDA AOS NO0VOS DIRIGENTES MUNICIPAIS DE EDUCAÇÃO, DEBATE SOBRE O TEMA (A BOMBA RELÓGIO DO PLANO DE CARREIA DA EDUCAÇÃO NOS MUNICIPIOS DA BAHIA) E XXII ENCONTRO DO COMITÊ TERRITORIAL BAIANO DE DUCAÇÃO INTREGAL/INTREGADA, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","419","frmCadLiqEmpenho","3","E"
"","GABINETE DO PREFEITO","DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS","ISABELLA MACÊDO DE OLIVEIRA","06/04/2017","06/04/2017","SALVADOR/BA","1","140,00","140,00","20/04/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA A SRª ISABELLA MACEDO DE OLIVEIRA DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 06 DE ABRIL DE 2017, PARA PARTICIPAR DE REUNIÃO NA CONDER REFERENTE AO CONVÊNIO 191/2014, ENTREGA OFICIO NA SAEB, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","421","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO","ENGENHEIRO CIVIL","DENILTON GONÇALVES MESQUITA","06/04/2017","06/04/2017","SALVADOR/BA","1","100,00","100,00","18/05/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA O SRº DENILTON GONÇALVES MESQUITA ENGENHEIRO CIVIL PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 06 DE ABRIL DE 2017, PARA PARTICIPAR DE REUNIÃO NA CONDER PARA TRATAR DE ASSUNTOS DO CONVÊNIO 191/2014, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","425","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS","ISABELLA MACÊDO DE OLIVEIRA","27/04/2017","27/04/2017","SALVADOR/BA","1","140,00","140,00","18/05/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA A SRª ISABELLA MACEDO DE OLIVEIRA DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 27/04/2017 PARA REUNIÃO NA SESAB E ENTREGAR A PRESTAÇÃO DE CONTAS PETE 2016, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","449","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","SECRETÁRIO EXECUTIVO DE GOVERNO","CLERISTON SANTANA OLIVEIRA","02/05/2017","03/05/2017","SALVADOR/BA","1,5","240,00","360,00","03/05/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA O SRº CLERISTON SANTANA OLIVEIRA SECRETÁRIO EXERCUTIVO DE GOVERNO PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 02 E 03/05/2017 PARA PARTICIPAR DE REUNIÃO NA COORDENAÇÃO DE DESENVOLVIMENTO AGRÁRIO E PARTICIPAR DE OFICINA DE ATUALIZAÇÃO DO MAPA DO TURISMO BRASILEIRO NA SECRETARIA ESTADUAL DE TURISMO, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","461","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","ORIENTADORA","MANUELA SANTANA DE ALMEIDA","03/04/2017","03/04/2017","FEIRA DE SANTANA/BA","1","90,00","90,00","18/05/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª MANUELA SANTANA DE ALMEIDA, ORIENTADORA EDUCACIONAL PARA CUSTEAR VIAGEM A CIDADE DE FEIRA DE SANTANA/BA NO DIA 03 DE ABRIL DE 2017, PARA PARTICIPAR DO I SIMPÓSIO DA USF SOBRE AUTISMO, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","522","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","CARGO NÃO INFORMADO","MARIA CIDILEA CORREIA PIMENTEL","10/04/2017","10/04/2017","SALVADOR/BA","1","140,00","140,00","18/05/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA  SRª MARIA LIDILEA CORREIA PIMENTEL, COORDENADORA PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 10 DE ABRIL DE 2017, PARA PARTICIPAR XXII ENCONTRO DO COMITÊ TERRITORIAL BAIANO DE EDUCAÇÃO INTEGRAL/INTEGRADA, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","524","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","COORDENADOR PEDAGOGICO","GERUZIA SANTOS DE JESUS COELHO","20/04/2017","20/04/2017","PARIPIRANGA/BA","1","45,00","45,00","18/05/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA  SRª GERUSIA SANTOS DE JESUS COELHO COORDENADORA, PARA CUSTEAR VIAGEM A CIDADE DE PARIPIRANGA/BA NO DIA 20 DE ABRIL DE 2017, PARA PARTICIPAR DO EVENTO ""ENCONTRO DE FORMAÇÃO DOS COORDENADORES DE ESTÁGIO DAS LICENCIATURAS DOS MUNICIPIO PARCEIROS"", CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","525","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE EDUCAÇÃO","COORDENADOR PEDAGOGICO","GLEUMA FERREIRA DA SILVA","20/04/2017","20/04/2017","PARIPIRANGA/BA","1","45,00","45,00","18/05/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA  SRª GLEUMA FERREIRA DA SILVA COORDENADORA, PARA CUSTEAR VIAGEM A CIDADE DE PARIPIRANGA/BA NO DIA 20 DE ABRIL DE 2017, PARA PARTICIPAR DO EVENTO ""ENCONTRO DE FORMAÇÃO DOS COORDENADORES DE ESTÁGIO DAS LICENCIATURAS DOS MUNICIPIO PARCEIROS"", CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","526","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","CONTROLADOR GERAL DO MUNICIPIO","ADRIANO MACEDO DE JESUS","06/05/2017","08/05/2017","SALVADOR/BA","2","240,00","480,00","18/05/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA O SRº ADRIANO MACEDO DE JESUS CONTROLADOR GERAL, PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 06 E 07 DE MAIO DE 2017, PARA PARTICIPAR DO III MÓDULO DO CURSO DE FORMAÇÃO E APERFEIÇOAMENTO EM CONTROLADORIA INTERNA DE PREFEITURA, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","527","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS","ISABELLA MACÊDO DE OLIVEIRA","06/05/2017","08/05/2017","SALVADOR/BA","2","140,00","280,00","18/05/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª ISABELLA MACEDO DE OLIVEIRA DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS, PARA CUSTEAR VIAGEM A CIDADE SALVADOR/BA NOS DIAS 06 E 07 DE MAIO DE 2017, PARA PARTICIPAR DO III MÓDULO DO CURSO GESTÃO DE CONTRATOS, CONVÊNIOS E PRESTAÇÃO DE CONTAS, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","529","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS","DIRETOR DE ADMINISTRAÇÃO CONTABIL","GEORGE SANTOS DE JESUS","18/05/2017","21/05/2017","SALVADOR/BA","4","140,00","560,00","31/05/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA O SRº GEORGE SANTOS DE JESUS DIRETOR DE ADMINISTRAÇÃO CONTÁBIL PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 18, 19, 20 E 21 DE MAIO DE 2017, PARA PARTICIPAR SEMINÁRIO DE ELABORAÇÃO DO PPA 2018-2021 NA EMPRESA GRADUS ASSESSORIA E CONSULTORIA MUNICIPAL E II MÓDULO DO CURSO DE PLANEJAMENTO E EXERCUÇÃO ORÇAMENTÁRIA, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","620","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS","ISABELLA MACÊDO DE OLIVEIRA","15/05/2017","15/05/2017","SALVADOR/BA","1","140,00","140,00","31/05/2017","LIQUIADDO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª ISABELLA MACEDO DE OLIVEIRA DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 15 DE MAIO DE 2017, PARA ENTREGA DECLARAÇÕES E OFÍCIOS NA SECRETARIA ESTADUAL DE EDUCAÇÃO E REUNIÃO NA DIRETORIA FINANCEIRA/SEDUR, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","622","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","CONTROLADOR GERAL DO MUNICIPIO","ADRIANO MACEDO DE JESUS","18/05/2017","20/05/2017","SALVADOR/BA","2","240,00","480,00","31/05/2017","LIQUIADDO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA O SRº ADRIANO MACEDO DE JESUS CONTROLADOR GERAL PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 18 E 19 DE MAIO DE 2017, PARA PARTICIPAR SEMINÁRIO DE ELABORAÇÃO DO PPA 2018-2021 NA EMPRESA GRADUS ASSESSORIA E CONSULTORIA MUNICIPAL, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","627","frmCadLiqEmpenho","1","E"
"","SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS","SECRETARIO DE FINANÇAS","JOÃO BOSCO PIMENTEL NORONHA","18/05/2017","19/05/2017","SALVADOR/BA","2","240,00","480,00","31/05/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA O SRº JOÃO BOSCO PIMENTEL NORONHA SECRETARIO DE FINANÇAS E PLANEJAMENTO PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 18 E 19 DE MAIO DE 2017 PARA PARTICIPAR DO SEMINÁRIO DE ELABORAÇÃO DO PPA 2018-2021, CONFORME REQUISIÇÃO EM ANEXO.","13810312000102","2017","636","frmCadLiqEmpenho","1","E"
